기간,대분류,분류,대중교통 이용만족도,버스,지하철,택시
2007,은평구,은평구,5.77,6.24,6.54,4.54
2007,서대문구,서대문구,5.49,5.66,6.1,4.71
2007,마포구,마포구,5.92,6.22,6.51,5.04
2007,양천구,양천구,6.11,6.21,6.15,5.97
2007,강서구,강서구,5.95,5.95,6.65,5.25
2007,구로구,구로구,5.88,6.04,6.56,5.03
2007,금천구,금천구,5.58,5.83,5.81,5.09
2007,영등포구,영등포구,5.74,5.81,6.51,4.9
2007,동작구,동작구,5.46,5.71,5.97,4.69
2007,관악구,관악구,5.67,6.07,5.94,5.02
2007,서초구,서초구,5.8,5.99,6.42,4.99
2007,강남구,강남구,5.59,5.85,6.04,4.87
2007,송파구,송파구,5.74,5.89,6.49,4.84
2007,강동구,강동구,5.96,5.96,6.73,5.18
2008,서울시,서울시,5.83,6,6.3,5.14
2008,성별,남자,5.82,5.99,6.28,5.15
2008,성별,여자,5.84,6.02,6.31,5.14
2008,연령별,10대,5.91,6.05,6.29,5.31
2008,연령별,20대,5.85,6.02,6.34,5.16
2008,연령별,30대,5.68,5.87,6.18,4.99
2008,연령별,40대,5.76,5.95,6.24,5.07
2008,연령별,50대,5.89,6.1,6.35,5.15
2008,연령별,60대 이상,6.01,6.13,6.42,5.36
2008,학력별,중졸 이하,5.94,6.09,6.29,5.32
2008,학력별,고졸 이하,5.86,6.06,6.34,5.13
2008,학력별,전문대 이하,5.66,5.83,6.18,4.96
2008,학력별,4년제 이하,5.85,6,6.32,5.2
2008,학력별,대학원 이상,5.62,5.75,6.21,4.89
2008,소득별,100 만원 미만,5.91,6.07,6.36,5.12
